question,scenario,K,calculation time
q1,-,1000000,1600
q2,1b-1t,1000192,141009
q2,1b-256t,1000192,2369
q2,MANYb-256t,1000192,128
q3,1b-1t,1000192,141686
q3,1b-256t,1000192,2668
q3,MANYb-256t,1000192,838
q1,-,5000000,8129
q2,1b-1t,5000192,405494
q2,1b-256t,5000192,6806
q2,MANYb-256t,5000192,307
q3,1b-1t,5000192,459846
q3,1b-256t,5000192,6764
q3,MANYb-256t,5000192,266
q1,-,10000000,17496
q2,1b-1t,10000128,741983
q2,1b-256t,10000128,13638
q2,MANYb-256t,10000128,542
q3,1b-1t,10000128,742320
q3,1b-256t,10000128,13581
q3,MANYb-256t,10000128,487
q1,-,50000000,86300
q2,1b-1t,50000128,3141988
q2,1b-256t,50000128,67095
q2,MANYb-256t,50000128,2395
q3,1b-1t,50000128,3196139
q3,1b-256t,50000128,67633
q3,MANYb-256t,50000128,2360
q1,-,100000000,169464
q2,1b-1t,100000000,6225057
q2,1b-256t,100000000,134634
q2,MANYb-256t,100000000,4708
q3,1b-1t,100000000,6232034
q3,1b-256t,100000000,134902
q3,MANYb-256t,100000000,4703
